Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (2675, 2) (dtype=torch.int64) | rev edge_attr: (2736, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 017 | train 0.2408 | val 0.2468 | val macro-minF1 76.09%
[seed 1] Epoch 018 | train 0.2407 | val 0.2673 | val macro-minF1 73.89%
[seed 1] Epoch 019 | train 0.2400 | val 0.2508 | val macro-minF1 78.82%
[seed 1] Epoch 020 | train 0.2386 | val 0.2422 | val macro-minF1 78.10%
[seed 1] Epoch 021 | train 0.2387 | val 0.2573 | val macro-minF1 79.81%
[seed 1] Epoch 022 | train 0.2385 | val 0.2447 | val macro-minF1 78.00%
[seed 1] Epoch 023 | train 0.2380 | val 0.2443 | val macro-minF1 78.05%
[seed 1] Epoch 024 | train 0.2384 | val 0.2514 | val macro-minF1 75.01%
[seed 1] Epoch 025 | train 0.2324 | val 0.2250 | val macro-minF1 83.61%
[seed 1] Epoch 026 | train 0.1905 | val 0.1849 | val macro-minF1 86.70%
[seed 1] Epoch 027 | train 0.1821 | val 0.1829 | val macro-minF1 85.99%
[seed 1] Epoch 028 | train 0.1791 | val 0.1861 | val macro-minF1 87.32%
[seed 1] Epoch 029 | train 0.1780 | val 0.1801 | val macro-minF1 87.24%
[seed 1] Epoch 030 | train 0.1767 | val 0.1776 | val macro-minF1 87.61%
[seed 1] Epoch 031 | train 0.1745 | val 0.1785 | val macro-minF1 86.71%
[seed 1] Epoch 032 | train 0.1758 | val 0.1829 | val macro-minF1 85.50%
[seed 1] Epoch 033 | train 0.1739 | val 0.1781 | val macro-minF1 87.67%
[seed 1] Epoch 034 | train 0.1740 | val 0.1831 | val macro-minF1 86.48%
[seed 1] Epoch 035 | train 0.1741 | val 0.1783 | val macro-minF1 86.99%
[seed 1] Epoch 036 | train 0.1730 | val 0.1802 | val macro-minF1 86.23%
[seed 1] Epoch 037 | train 0.1745 | val 0.2021 | val macro-minF1 86.41%
[seed 1] Epoch 038 | train 0.1722 | val 0.1804 | val macro-minF1 87.45%
[seed 1] Epoch 039 | train 0.1715 | val 0.1812 | val macro-minF1 85.57%
[seed 1] Epoch 040 | train 0.1719 | val 0.1780 | val macro-minF1 86.65%
[seed 1] Epoch 041 | train 0.1720 | val 0.1816 | val macro-minF1 86.48%
[seed 1] Epoch 042 | train 0.1708 | val 0.1854 | val macro-minF1 86.85%
[seed 1] Epoch 043 | train 0.1700 | val 0.1912 | val macro-minF1 86.65%
[seed 1] Epoch 044 | train 0.1713 | val 0.1756 | val macro-minF1 87.57%
[seed 1] Epoch 045 | train 0.1706 | val 0.1881 | val macro-minF1 87.50%
[seed 1] Epoch 046 | train 0.1691 | val 0.1750 | val macro-minF1 87.31%
[seed 1] Epoch 047 | train 0.1698 | val 0.1776 | val macro-minF1 87.18%
[seed 1] Epoch 048 | train 0.1704 | val 0.1769 | val macro-minF1 87.29%
[seed 1] Epoch 049 | train 0.1686 | val 0.1903 | val macro-minF1 85.77%
[seed 1] Epoch 050 | train 0.1680 | val 0.1821 | val macro-minF1 86.85%
[seed 1] Epoch 051 | train 0.1669 | val 0.1770 | val macro-minF1 86.81%
[seed 1] Epoch 052 | train 0.1673 | val 0.1780 | val macro-minF1 87.17%
