Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 2] Epoch 032 | train 0.2479 | val 0.2507 | val macro-minF1 77.84%
[seed 2] Epoch 033 | train 0.2467 | val 0.2532 | val macro-minF1 75.67%
[seed 2] Epoch 034 | train 0.2457 | val 0.2514 | val macro-minF1 74.42%
[seed 2] Epoch 035 | train 0.2455 | val 0.2524 | val macro-minF1 78.41%
[seed 2] Epoch 036 | train 0.2455 | val 0.2494 | val macro-minF1 76.28%
[seed 2] Epoch 037 | train 0.2451 | val 0.2558 | val macro-minF1 76.06%
[seed 2] Epoch 038 | train 0.2462 | val 0.2550 | val macro-minF1 75.19%
[seed 2] Epoch 039 | train 0.2448 | val 0.2564 | val macro-minF1 76.34%
[seed 2] Epoch 040 | train 0.2448 | val 0.2494 | val macro-minF1 75.55%
[seed 2] Epoch 041 | train 0.2441 | val 0.2523 | val macro-minF1 76.17%
[seed 2] Epoch 042 | train 0.2441 | val 0.2508 | val macro-minF1 76.95%
[seed 2] Epoch 043 | train 0.2441 | val 0.2530 | val macro-minF1 77.10%
[seed 2] Epoch 044 | train 0.2444 | val 0.2516 | val macro-minF1 73.78%
[seed 2] Epoch 045 | train 0.2437 | val 0.2515 | val macro-minF1 77.40%
[seed 2] Epoch 046 | train 0.2436 | val 0.2506 | val macro-minF1 76.89%
[seed 2] Epoch 047 | train 0.2429 | val 0.2490 | val macro-minF1 76.22%
[seed 2] Epoch 048 | train 0.2432 | val 0.2496 | val macro-minF1 77.48%
[seed 2] Epoch 049 | train 0.2435 | val 0.2533 | val macro-minF1 76.60%
[seed 2] Epoch 050 | train 0.2423 | val 0.2504 | val macro-minF1 77.63%
[seed 2] Epoch 051 | train 0.2425 | val 0.2496 | val macro-minF1 75.87%
[seed 2] Epoch 052 | train 0.2419 | val 0.2535 | val macro-minF1 76.82%
[seed 2] Epoch 053 | train 0.2421 | val 0.2512 | val macro-minF1 75.53%
[seed 2] Epoch 054 | train 0.2416 | val 0.2516 | val macro-minF1 77.77%
[seed 2] Epoch 055 | train 0.2420 | val 0.2494 | val macro-minF1 77.00%
[seed 2] Epoch 056 | train 0.2416 | val 0.2502 | val macro-minF1 76.59%
[seed 2] Epoch 057 | train 0.2416 | val 0.2513 | val macro-minF1 78.25%
[seed 2] Epoch 058 | train 0.2422 | val 0.2518 | val macro-minF1 76.20%
[seed 2] Epoch 059 | train 0.2403 | val 0.2574 | val macro-minF1 73.83%
[seed 2] Epoch 060 | train 0.2408 | val 0.2560 | val macro-minF1 74.17%
[seed 2] Epoch 061 | train 0.2408 | val 0.2511 | val macro-minF1 75.49%
[seed 2] Epoch 062 | train 0.2402 | val 0.2497 | val macro-minF1 76.55%
[seed 2] Epoch 063 | train 0.2394 | val 0.2510 | val macro-minF1 75.70%
[seed 2] Epoch 064 | train 0.2390 | val 0.2521 | val macro-minF1 78.41%
[seed 2] Epoch 065 | train 0.2395 | val 0.2612 | val macro-minF1 72.17%
[seed 2] Epoch 066 | train 0.2398 | val 0.2498 | val macro-minF1 77.75%
[seed 2] Epoch 067 | train 0.2383 | val 0.2506 | val macro-minF1 77.55%
[seed 2] Epoch 068 | train 0.2389 | val 0.2510 | val macro-minF1 76.69%
[seed 2] Epoch 069 | train 0.2377 | val 0.2526 | val macro-minF1 78.01%
[seed 2] Epoch 070 | train 0.2374 | val 0.2506 | val macro-minF1 77.42%
[seed 2] Epoch 071 | train 0.2235 | val 0.2237 | val macro-minF1 82.75%
[seed 2] Epoch 072 | train 0.2138 | val 0.2214 | val macro-minF1 83.22%
[seed 2] Epoch 073 | train 0.2128 | val 0.2220 | val macro-minF1 82.60%
[seed 2] Epoch 074 | train 0.2113 | val 0.2221 | val macro-minF1 82.80%
[seed 2] Epoch 075 | train 0.2103 | val 0.2228 | val macro-minF1 82.01%
[seed 2] Epoch 076 | train 0.2106 | val 0.2208 | val macro-minF1 83.30%
[seed 2] Epoch 077 | train 0.2097 | val 0.2222 | val macro-minF1 83.53%
[seed 2] Epoch 078 | train 0.2100 | val 0.2210 | val macro-minF1 82.59%
[seed 2] Epoch 079 | train 0.2103 | val 0.2220 | val macro-minF1 83.06%
[seed 2] Epoch 080 | train 0.2090 | val 0.2198 | val macro-minF1 83.24%
