Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 2] Epoch 036 | train 0.2442 | val 0.2458 | val macro-minF1 84.39%
[seed 2] Epoch 037 | train 0.2432 | val 0.2582 | val macro-minF1 82.84%
[seed 2] Epoch 038 | train 0.2446 | val 0.2464 | val macro-minF1 84.28%
[seed 2] Epoch 039 | train 0.2423 | val 0.2481 | val macro-minF1 84.52%
[seed 2] Epoch 040 | train 0.2428 | val 0.2461 | val macro-minF1 84.14%
[seed 2] Epoch 041 | train 0.2431 | val 0.2459 | val macro-minF1 84.70%
[seed 2] Epoch 042 | train 0.2431 | val 0.2481 | val macro-minF1 84.37%
[seed 2] Epoch 043 | train 0.2422 | val 0.2499 | val macro-minF1 84.30%
[seed 2] Epoch 044 | train 0.2424 | val 0.2461 | val macro-minF1 84.26%
[seed 2] Epoch 045 | train 0.2424 | val 0.2500 | val macro-minF1 83.69%
[seed 2] Epoch 046 | train 0.2413 | val 0.2480 | val macro-minF1 84.20%
[seed 2] Epoch 047 | train 0.2408 | val 0.2471 | val macro-minF1 83.97%
[seed 2] Epoch 048 | train 0.2391 | val 0.2496 | val macro-minF1 84.19%
[seed 2] Epoch 049 | train 0.2413 | val 0.2494 | val macro-minF1 84.05%
[seed 2] Epoch 050 | train 0.2406 | val 0.2472 | val macro-minF1 84.07%
[seed 2] Epoch 051 | train 0.2422 | val 0.2477 | val macro-minF1 84.19%
[seed 2] Epoch 052 | train 0.2402 | val 0.2458 | val macro-minF1 84.36%
[seed 2] Epoch 053 | train 0.2395 | val 0.2467 | val macro-minF1 84.37%
[seed 2] Epoch 054 | train 0.2399 | val 0.2483 | val macro-minF1 84.12%
[seed 2] Epoch 055 | train 0.2396 | val 0.2482 | val macro-minF1 84.06%
