Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 021 | train 0.0730 | val 0.0756 | val macro-minF1 92.95%
[seed 1] Epoch 022 | train 0.0753 | val 0.0712 | val macro-minF1 93.44%
[seed 1] Epoch 023 | train 0.0736 | val 0.0701 | val macro-minF1 94.03%
[seed 1] Epoch 024 | train 0.0703 | val 0.0628 | val macro-minF1 94.15%
[seed 1] Epoch 025 | train 0.0718 | val 0.0709 | val macro-minF1 93.44%
[seed 1] Epoch 026 | train 0.0688 | val 0.0687 | val macro-minF1 94.34%
[seed 1] Epoch 027 | train 0.0702 | val 0.0661 | val macro-minF1 93.70%
[seed 1] Epoch 028 | train 0.0713 | val 0.0658 | val macro-minF1 94.07%
[seed 1] Epoch 029 | train 0.0689 | val 0.0639 | val macro-minF1 93.85%
[seed 1] Epoch 030 | train 0.0713 | val 0.0695 | val macro-minF1 93.10%
[seed 1] Epoch 031 | train 0.0715 | val 0.0751 | val macro-minF1 93.48%
[seed 1] Epoch 032 | train 0.0714 | val 0.0611 | val macro-minF1 94.00%
[seed 1] Epoch 033 | train 0.0658 | val 0.0635 | val macro-minF1 93.92%
[seed 1] Epoch 034 | train 0.0678 | val 0.0637 | val macro-minF1 93.79%
[seed 1] Epoch 035 | train 0.0675 | val 0.0713 | val macro-minF1 93.28%
[seed 1] Epoch 036 | train 0.0672 | val 0.0594 | val macro-minF1 94.02%
[seed 1] Epoch 037 | train 0.0686 | val 0.0614 | val macro-minF1 93.92%
[seed 1] Epoch 038 | train 0.0655 | val 0.0639 | val macro-minF1 94.55%
[seed 1] Epoch 039 | train 0.0665 | val 0.0628 | val macro-minF1 93.62%
[seed 1] Epoch 040 | train 0.0703 | val 0.0611 | val macro-minF1 94.39%
[seed 1] Epoch 041 | train 0.0671 | val 0.0652 | val macro-minF1 94.51%
[seed 1] Epoch 042 | train 0.0652 | val 0.0662 | val macro-minF1 94.00%
[seed 1] Epoch 043 | train 0.0696 | val 0.0668 | val macro-minF1 94.48%
[seed 1] Epoch 044 | train 0.0649 | val 0.0599 | val macro-minF1 94.46%
[seed 1] Epoch 045 | train 0.0645 | val 0.0658 | val macro-minF1 94.29%
[seed 1] Epoch 046 | train 0.0619 | val 0.0737 | val macro-minF1 93.49%
[seed 1] Epoch 047 | train 0.0629 | val 0.0737 | val macro-minF1 93.55%
[seed 1] Epoch 048 | train 0.0670 | val 0.0631 | val macro-minF1 94.13%
[seed 1] Epoch 049 | train 0.0651 | val 0.0617 | val macro-minF1 94.29%
[seed 1] Epoch 050 | train 0.0656 | val 0.0797 | val macro-minF1 92.31%
[seed 1] Epoch 051 | train 0.0642 | val 0.0605 | val macro-minF1 94.46%
[seed 1] Epoch 052 | train 0.0662 | val 0.0594 | val macro-minF1 94.35%
[seed 1] Epoch 053 | train 0.0648 | val 0.0578 | val macro-minF1 94.73%
[seed 1] Epoch 054 | train 0.0637 | val 0.0597 | val macro-minF1 94.36%
[seed 1] Epoch 055 | train 0.0654 | val 0.0623 | val macro-minF1 94.33%
[seed 1] Epoch 056 | train 0.0629 | val 0.0692 | val macro-minF1 94.30%
[seed 1] Epoch 057 | train 0.0656 | val 0.0579 | val macro-minF1 94.71%
