subset_id,subset_size,subset_clients,node_count_std,node_count_range,density_std,density_range,in_degree_jsd_mean,out_degree_jsd_mean,motif_profile_jsd_mean,label_prev_jsd_mean,labelset_size_jsd_mean,label_mixing_jsd_mean,generator_entropy,generator_entropy_norm,param_cv2_mean,param_avg_pairwise_zdist,param_cv2_n,param_cv2_d,param_cv2_r
s4_038,4,2|3|11|12,250.0,500.0,0.0006212920484679053,0.0016615501425374672,0.014826860270145426,0.015464199834000283,0.04383777125604373,0.03383453275544582,0.06123620335922283,0.05116738365595502,0.5623351446194949,0.8112781244601233,0.022754820936638488,2.781272736835124,0.04,0.019999999999999202,0.008264462809916263
s4_039,4,0|7|9|13,433.0127018922193,1000.0,0.0007083472360217572,0.0020035032531280656,0.028869697398689373,0.031143836113455135,0.02828885140580008,0.0148410670014333,0.031007428878484736,0.01997756191193546,0.5623351446194949,0.8112781244601233,0.06001890431466258,2.7648380145775295,0.12,0.030470914127422474,0.029585798816565246
s4_040,4,0|1|2|10,353.5533905932738,1000.0,0.0005832267033831207,0.0015045037533781905,0.014673234014362843,0.014527788536315764,0.09184935835206223,0.027033357908068167,0.022108134951054733,0.0484511468748925,1.039720770840351,0.9463946303575803,0.031135272394012623,2.8219038745366323,0.05555555555555555,0.008264462809917083,0.029585798816565246
s4_041,4,6|9|13|14,433.0127018922193,1000.0,0.000708347236021757,0.0020035032531280656,0.027694374167551092,0.029102812532903963,0.03098446852315509,0.014900468314587287,0.029663682974777356,0.02343655543999027,0.5623351446194949,0.8112781244601233,0.053322140551311646,2.7470944646685544,0.12,0.01038062283736967,0.029585798816565246
s4_042,4,1|3|5|6,353.5533905932738,1000.0,0.0004327504310104148,0.001001834472940273,0.027250384260035676,0.029302194405951543,0.053959194397883,0.01764247398270416,0.034902406818203655,0.030180039039212982,0.5623351446194949,0.8112781244601233,0.03547821098276083,2.770399997880446,0.05555555555555555,0.030470914127422474,0.020408163265304455
s4_043,4,0|3|9|14,0.0,0.0,0.0005025025025025024,0.0010050050050050049,0.03587077331602528,0.03923554814814698,0.04183074631877903,0.015927784375458862,0.029079404743994106,0.023883189039317156,0.6931471805599453,1.0,0.011756971375807328,2.179721136471539,0.0,0.030470914127422474,0.004799999999999509
s4_044,4,1|2|6|11,353.5533905932738,1000.0,0.000719537891167469,0.0019944942441190564,0.022281832177320892,0.024465982136482656,0.07381174100546856,0.034770262456684214,0.05918024590860642,0.0579696112744983,1.039720770840351,0.9463946303575803,0.042936664475124064,2.6881650340794927,0.05555555555555555,0.019999999999999202,0.05325443786981744
s4_045,4,3|11|12|15,250.0,500.0,0.0005931124525961531,0.0016615501425374672,0.02053254669695053,0.022686269829138447,0.027290426315999202,0.029471897186877902,0.09029149273491467,0.04267786540566825,0.5623351446194949,0.8112781244601233,0.026277399848827602,2.7703999978797245,0.04,0.024943310657595467,0.013888888888887346
s4_046,4,0|1|10|14,414.578098794425,1000.0,0.0006512769566651021,0.0015045037533781905,0.014638505722438914,0.014339910925569691,0.10450525053178913,0.013169375633244293,0.0029143061319699317,0.025328855641186056,0.5623351446194949,0.8112781244601233,0.03808757231877268,2.7895150566147127,0.09090909090909091,0.008264462809917083,0.015089163237310061
s4_047,4,1|4|9|13,414.578098794425,1000.0,0.0004324128825343004,0.0010008339726901478,0.025962148806722873,0.027395475026345324,0.0579283262132883,0.03739638461371084,0.025637142592662265,0.060718083483770786,1.039720770840351,0.9463946303575803,0.042450937961210834,2.765533722713732,0.09090909090909091,0.01038062283736967,0.026063100137171922
s4_048,4,1|2|3|10,353.5533905932738,1000.0,0.000216695772220357,0.0005028349731903978,0.022780179538323966,0.023759604931038583,0.07794559322351705,0.03282200636002762,0.039796819488438384,0.054279690335242436,1.039720770840351,0.9463946303575803,0.035047118124039996,2.7550675809010374,0.05555555555555555,0.019999999999999202,0.029585798816565246
