n,d,r,type,seed_train,seed_val,seed_test,num_nodes_train,num_nodes_val,num_nodes_test,num_edges_train,num_edges_val,num_edges_test
10000,8,4.0,barabasi,1743538918,1550283903,742670632,10000,10000,10000,39984,39984,39984
10000,8,4.0,random,757611413,2027679632,1563839198,10000,10000,10000,39984,40000,40000
10000,8,4.0,watts,2125653758,515045295,384818951,10000,10000,10000,40000,40000,40000
12000,4,2.0,barabasi,1421878134,2032857351,254857187,12000,12000,12000,23996,23996,23996
12000,4,2.0,random,1155088606,1231614848,621878896,12000,12000,12000,23996,24000,23996
12000,4,2.0,watts,1918669388,702137852,289965478,12000,12000,12000,24000,24000,24000
12000,4,3.0,barabasi,582070522,1632961672,1983422880,12000,12000,12000,23996,23996,23996
12000,4,3.0,random,810547843,643785950,867134461,12000,12000,12000,23996,24000,23996
12000,4,3.0,watts,896879869,82521178,1002521067,12000,12000,12000,24000,24000,24000
12000,4,4.0,barabasi,1562873174,433172323,457520001,12000,12000,12000,23996,23996,23996
12000,4,4.0,random,1545634299,1153983529,60103659,12000,12000,12000,23996,23996,24000
12000,4,4.0,watts,763820917,2080881681,24720794,12000,12000,12000,24000,24000,24000
12000,6,2.0,barabasi,1704303275,445581195,1007418912,12000,12000,12000,35991,35991,35991
12000,6,2.0,random,1304445805,975432698,736153072,12000,12000,12000,36000,35991,35991
12000,6,2.0,watts,659860058,1959005842,555618171,12000,12000,12000,36000,36000,36000
12000,6,3.0,barabasi,972902164,1649860028,2024465509,12000,12000,12000,35991,35991,35991
12000,6,3.0,random,445655220,1962852428,1292372712,12000,12000,12000,35991,35991,35991
12000,6,3.0,watts,502951654,46880798,172463648,12000,12000,12000,36000,36000,36000
12000,6,4.0,barabasi,664233318,2088301062,459502206,12000,12000,12000,35991,35991,35991
12000,6,4.0,random,246915293,204291830,1690071167,12000,12000,12000,35991,35991,36000
12000,6,4.0,watts,1139449872,583590478,1294083648,12000,12000,12000,36000,36000,36000
12000,8,2.0,barabasi,532300561,425409365,2065132596,12000,12000,12000,47984,47984,47984
12000,8,2.0,random,1268094935,179349882,618501473,12000,12000,12000,48000,48000,48000
12000,8,2.0,watts,766194866,1528318748,462827762,12000,12000,12000,48000,48000,48000
12000,8,3.0,barabasi,1761388505,127034608,1158309535,12000,12000,12000,47984,47984,47984
12000,8,3.0,random,1002926583,303604414,982603879,12000,12000,12000,47984,47984,47984
12000,8,3.0,watts,160951084,879486866,1944085760,12000,12000,12000,48000,48000,48000
12000,8,4.0,barabasi,1814345015,1560889926,469902059,12000,12000,12000,47984,47984,47984
12000,8,4.0,random,303691923,1703430078,1955166305,12000,12000,12000,48000,47984,48000
12000,8,4.0,watts,2084248114,2023319952,178323675,12000,12000,12000,48000,48000,48000
