method,q,seed,eval_loss,macro_f1,macro_minority_f1,macro_pos_f1,macro_pr_auc,micro_f1,micro_pr_auc,pair_acc,subset_acc
FedAvg,0.2,2,0.25951414984741794,0.42833229899406433,0.42833229899406433,0.42833229899406433,0.6670114487409592,0.342005170312493,0.6264365762472153,0.9129688380697626,0.7541952977342664
FedAvg,0.5,0,0.25246498837966586,0.39468803256750107,0.39468803256750107,0.39468803256750107,0.6282379299402236,0.35343180195593404,0.6487209692597389,0.9170464021942223,0.7576091201016056
FedAvg,0.5,1,0.2645385307596973,0.37105595171451566,0.37105595171451566,0.37105595171451566,0.6099612653255463,0.3373373077576441,0.6184923365712166,0.9114139513238639,0.7593386567485164
FedAvg,0.5,2,0.26765934555639925,0.4146213099360466,0.4146213099360466,0.4146213099360466,0.6498909384012223,0.33647532253566836,0.6524861380457878,0.9102307068978582,0.7422405079001363
FedAvg,0.8,0,0.42798490854700183,0.18127336576581,0.18127336576581,0.18127336576581,0.40956247299909593,0.2129747797542246,0.45387518480420114,0.8371530930266798,0.6662349971600813
FedAvg,0.8,1,0.6543175479006216,0.11184021160006519,0.11184021160006519,0.11184021160006519,0.1747346997261047,0.14350835355334213,0.17836990952491755,0.7377681051494301,0.6078767303752428
FedAvg,0.8,2,0.4872784834675932,0.1475344646722078,0.1475344646722078,0.1475344646722078,0.28409099727869036,0.19507190995601814,0.2997061815112829,0.8184791076266636,0.6547542289080877
FedProx,0.2,0,0.2714504328188113,0.4014300167560577,0.4014300167560577,0.4014300167560577,0.6749424338340759,0.3290940921766419,0.6203974157571792,0.9073880535284251,0.7546149889148912
FedProx,0.2,1,0.254031565215806,0.4472007676959038,0.4472007676959038,0.4472007676959038,0.6832478225231171,0.3442845411784755,0.6484986513853073,0.9140064216975233,0.7568717000019494
FedProx,0.2,2,0.24184120830499084,0.4348060965538025,0.4348060965538025,0.4348060965538025,0.683495181798935,0.3684178527736889,0.6412087142467499,0.9215635702478735,0.7775036947236257
FedProx,0.5,0,0.28873117438121043,0.34576722681522365,0.34576722681522365,0.34576722681522365,0.6218366503715516,0.30876352311975896,0.621367509663105,0.8990836334258475,0.7394096129536811
FedProx,0.5,1,0.287810348187197,0.3699098795652389,0.3699098795652389,0.3699098795652389,0.6265517562627793,0.3016674774725382,0.6174881815910339,0.8945636929773972,0.713569794390642
FedProx,0.5,2,0.2703393774575198,0.3710368886590004,0.3710368886590004,0.3710368886590004,0.6462703704833984,0.3238501886531713,0.644297069311142,0.9056105057617229,0.7358805812773535
FedProx,0.8,0,0.3665062717833326,0.20014856085181232,0.20014856085181232,0.20014856085181232,0.44307966232299806,0.25134138602130673,0.5537739351391793,0.8684550515546199,0.6830730655815351
FedProx,0.8,1,0.5624172809306123,0.1294102422893047,0.1294102422893047,0.1294102422893047,0.1827123243361711,0.16987961878145694,0.1859870139509439,0.7850257179830302,0.6552553930299101
FedProx,0.8,2,0.5225042262436872,0.13512809872627254,0.13512809872627254,0.13512809872627254,0.2173306435346603,0.17852300712882901,0.24469688087701794,0.7978811823196434,0.6477759499514992
Fully Local,0.2,0,1.2463758030575547,0.2621295936405658,0.2621295936405658,0.2621295936405658,0.29429439343512054,0.23316057927121164,0.25920003838837147,0.8651147088618414,0.7301791443481611
Fully Local,0.2,1,1.2046460330039894,0.2628591574728488,0.2628591574728488,0.2628591574728488,0.30388329960405824,0.24168303210342984,0.27072753310203546,0.8486589680082683,0.7131656895148412
Fully Local,0.2,2,1.4576701831262284,0.27933147624135013,0.27933147624135013,0.27933147624135013,0.3018087051808834,0.2470432062510728,0.25984828397631643,0.8700855399582055,0.7424786356577395
Fully Local,0.5,0,1.375529436631338,0.14363970514386887,0.14363970514386887,0.14363970514386887,0.18209263086318966,0.15522752663858722,0.1880998525768518,0.7314136823526313,0.6177371340065225
